gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Prob,Churn_Prediction,Actual_Churn,CustomerID,Contract,PaymentMethod,InternetService
1,0,1,0,58,1,0,100.35,1.5006384728348567,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.34676892,0,0,8091-TTVAX,One year,Credit card (automatic),Fiber optic
1,0,0,0,49,1,1,103.7,1.2161556572941103,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0.77109665,1,1,0280-XJGEX,Month-to-month,Bank transfer (automatic),Fiber optic
1,0,0,0,25,1,1,105.5,0.17923608963803278,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.67201626,1,0,5129-JLPIS,Month-to-month,Electronic check,Fiber optic
0,0,1,1,69,1,0,113.25,2.477467222444021,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.029120678,0,0,3655-SNQYZ,Two year,Credit card (automatic),Fiber optic
0,0,0,0,52,1,0,20.65,-0.5545160358672637,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.0015842996,0,0,8191-XWSZG,One year,Mailed check,No
1,0,0,1,71,1,0,106.7,2.2511780845860048,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0.036717206,0,0,9959-WOFKT,Two year,Bank transfer (automatic),Fiber optic
0,0,1,1,10,1,0,55.2,-0.7727312972916637,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.23057608,0,1,4190-MFLUW,Month-to-month,Credit card (automatic),DSL
0,0,0,0,21,1,1,90.05,-0.18393393147295561,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.49222484,0,0,4183-MYFRB,Month-to-month,Electronic check,Fiber optic
1,1,0,0,1,0,1,39.65,-0.988343505658231,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.9795115,1,1,8779-QRDMV,Month-to-month,Electronic check,DSL
1,0,1,0,12,1,0,19.8,-0.9166051281661013,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.09174739,0,0,1680-VDCWW,One year,Bank transfer (automatic),No
1,0,0,0,1,1,0,20.15,-0.9969468166120843,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.6696421,1,1,1066-JKSGK,Month-to-month,Mailed check,No
0,0,1,0,58,1,1,59.9,0.5405972094715441,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.0065292353,0,0,3638-WEABW,Two year,Credit card (automatic),DSL
1,0,1,1,49,1,0,59.6,0.30464589161920075,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.05171506,0,0,6322-HRPFA,Month-to-month,Credit card (automatic),DSL
0,0,0,0,30,1,1,55.3,-0.33054317403528505,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17675467,0,0,6865-JZNKO,Month-to-month,Bank transfer (automatic),DSL
1,0,1,1,47,1,1,99.35,1.0894663885557025,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.8604996,1,1,6467-CHFZW,Month-to-month,Electronic check,Fiber optic
1,0,1,1,1,0,0,30.2,-0.9925128025050985,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.670941,1,1,8665-UTDHZ,Month-to-month,Electronic check,DSL
1,0,1,0,72,1,1,90.25,1.804335349505875,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.00038936068,0,0,5248-YGIJN,Two year,Credit card (automatic),DSL
0,0,0,1,17,1,1,64.7,-0.5235661762050687,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.5058997,1,1,8773-HHUOZ,Month-to-month,Mailed check,DSL
0,1,1,0,71,1,1,96.35,1.9797105343344215,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.0020415569,0,0,3841-NFECX,Two year,Credit card (automatic),Fiber optic
1,1,1,0,2,1,1,95.5,-0.9256937540968384,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.69219023,1,0,4929-XIHVW,Month-to-month,Credit card (automatic),Fiber optic
0,0,1,1,27,1,0,66.15,-0.17883812421567336,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0.0931534,0,0,6827-IEAUQ,One year,Mailed check,DSL
1,0,0,0,1,1,0,20.2,-0.9969247568404078,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.24934654,0,0,7310-EGVHZ,Month-to-month,Bank transfer (automatic),No
1,1,0,0,1,1,0,45.25,-0.9858728112304579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49431548,0,0,3413-BMNZE,Month-to-month,Bank transfer (automatic),DSL
0,0,1,1,72,1,0,99.9,2.193580020738542,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.0028729488,0,0,6234-RAAPL,Two year,Bank transfer (automatic),Fiber optic
1,0,0,0,5,1,1,69.7,-0.8660220717117796,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.54313606,1,1,6047-YHPVI,Month-to-month,Electronic check,Fiber optic
0,0,0,0,46,1,1,74.8,0.5596568522000807,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.16855884,0,0,6572-ADKRS,Month-to-month,Credit card (automatic),Fiber optic
1,0,0,0,34,1,1,106.35,0.5600759878619349,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.75141877,1,1,5380-WJKOV,Month-to-month,Electronic check,Fiber optic
0,0,0,0,11,1,1,97.85,-0.5181394723726381,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0.9888754,1,1,8168-UQWWF,Month-to-month,Bank transfer (automatic),Fiber optic
1,0,1,1,10,1,0,49.55,-0.7959602368670673,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0.02502631,0,0,8865-TNMNX,One year,Mailed check,DSL
0,0,1,1,70,1,1,69.2,1.143821665966714,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0.0075808456,0,0,9489-DEDVP,Two year,Credit card (automatic),DSL
0,0,1,1,17,1,0,20.75,-0.8213069145234195,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.03505979,0,0,9867-JCZSP,One year,Mailed check,No
0,0,0,0,63,1,1,79.85,1.1390126357412265,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0.003266347,0,0,4671-VJLCL,Two year,Credit card (automatic),DSL
0,0,1,0,13,1,1,76.2,-0.5728256463587974,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,0.16382857,0,0,4080-IIARD,Month-to-month,Electronic check,DSL
0,0,0,0,49,1,1,84.5,0.7177812955775672,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.48173103,0,0,3714-NTNFO,Month-to-month,Electronic check,Fiber optic
1,0,0,0,2,1,0,49.25,-0.9630409475452321,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3225498,0,0,5948-UJZLF,Month-to-month,Mailed check,DSL
0,0,0,0,2,1,1,80.65,-0.9422385828542484,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.65093625,1,1,7760-OYPDY,Month-to-month,Electronic check,Fiber optic
1,0,0,0,52,1,1,79.75,0.855037194949041,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.0070271506,0,0,7639-LIAYI,Two year,Credit card (automatic),DSL
0,0,1,1,69,1,1,64.15,0.871052589186214,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0.01479638,0,0,2954-PIBKO,Two year,Credit card (automatic),DSL
0,1,0,0,43,1,1,90.25,0.6878020658691404,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1887031,0,0,8012-SOUDQ,Month-to-month,Electronic check,Fiber optic
0,0,0,0,15,1,1,99.1,-0.3765157382092083,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.6493024,1,1,9420-LOJKX,Month-to-month,Credit card (automatic),Fiber optic
0,1,1,0,25,1,1,69.5,-0.23257572801974108,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.021406528,0,0,6575-SUVOI,Month-to-month,Credit card (automatic),DSL
0,1,1,0,8,1,1,80.65,-0.7264278365425921,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.750235,1,1,7495-OOKFY,Month-to-month,Credit card (automatic),Fiber optic
0,1,1,1,60,1,1,74.85,0.9602843656178454,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,0.020964824,0,0,4667-QONEA,One year,Credit card (automatic),DSL
1,1,0,0,18,1,1,95.45,-0.23261984756309426,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.6130686,1,1,1658-BYGOY,Month-to-month,Electronic check,Fiber optic
0,0,1,1,63,1,1,99.65,1.7786357155026982,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.07391657,0,0,8769-KKTPH,One year,Credit card (automatic),Fiber optic
1,1,1,1,66,1,1,108.45,2.1162164014688924,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0.08333173,0,0,5067-XJQFU,One year,Electronic check,Fiber optic
0,0,1,1,34,1,0,24.95,-0.6112758283910183,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.01794845,0,0,3957-SQXML,Two year,Credit card (automatic),No
0,0,0,0,72,1,1,107.5,2.459179671724164,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.01054696,0,0,5954-BDFSG,Two year,Credit card (automatic),Fiber optic
0,0,1,0,47,1,1,100.5,1.070914120575727,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.30639678,0,0,0434-CSFON,Month-to-month,Electronic check,Fiber optic
1,0,0,0,60,1,1,89.9,1.3989870449493294,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.08729161,0,0,1215-FIGMP,Month-to-month,Bank transfer (automatic),Fiber optic
1,0,1,0,72,0,0,42.1,0.30098396952089396,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.00030752516,0,0,0526-SXDJP,Two year,Bank transfer (automatic),DSL
0,0,1,1,18,1,1,54.4,-0.5835687551652757,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.08186243,0,0,0557-ASKVU,One year,Credit card (automatic),DSL
0,0,0,0,9,1,0,94.4,-0.6276221192033394,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.9081795,1,1,5698-BQJOH,Month-to-month,Electronic check,Fiber optic
0,0,0,0,3,1,1,75.3,-0.8981410992728317,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0.21332783,0,0,5122-CYFXA,Month-to-month,Electronic check,DSL
1,0,1,0,47,1,1,78.9,0.6046808461919123,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.093544364,0,0,8627-ZYGSZ,One year,Electronic check,Fiber optic
0,0,0,0,31,1,0,79.2,0.09591633201571571,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0.0062179384,0,0,3410-YOQBQ,Two year,Mailed check,DSL
0,0,1,1,50,1,0,20.15,-0.5951280755237861,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0021549289,0,0,3170-NMYVV,Two year,Bank transfer (automatic),No
1,0,0,0,10,1,1,79.85,-0.6143421366540583,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.44688275,0,0,7410-OIEDU,Month-to-month,Mailed check,Fiber optic
1,0,0,0,1,1,0,49.05,-0.9841962685830402,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.053856947,0,0,2273-QCKXA,Month-to-month,Mailed check,DSL
0,0,1,1,52,1,1,20.4,-0.5246471050172195,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0.0032520865,0,0,0731-EBJQB,One year,Electronic check,No
1,1,1,1,64,1,1,111.6,2.126209478038368,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0.031094948,0,0,1891-QRQSA,Two year,Bank transfer (automatic),Fiber optic
1,0,1,1,62,1,1,24.25,-0.37730988998956405,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.000985211,0,0,8028-PNXHQ,Two year,Bank transfer (automatic),No
0,0,0,1,3,1,1,64.5,-0.9275688346893449,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.17653906,0,0,5630-AHZIL,Month-to-month,Bank transfer (automatic),DSL
0,1,0,0,56,1,0,110.5,1.7028824595654368,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.05326207,0,0,2673-CXQEU,One year,Electronic check,Fiber optic
0,0,0,0,46,1,0,55.65,0.18047143685191927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0.049477138,0,0,6416-JNVRK,One year,Credit card (automatic),DSL
0,0,1,1,8,1,0,54.65,-0.7930704067774397,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.06857333,0,0,5590-ZSKRV,Month-to-month,Mailed check,DSL
1,1,0,0,30,1,1,74.75,-0.07434098578387156,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.15586571,0,0,0191-ZHSKZ,Month-to-month,Electronic check,DSL
0,0,1,1,45,1,1,25.9,-0.46907854016399836,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.013773681,0,0,3887-PBQAO,One year,Credit card (automatic),No
0,0,0,1,1,1,1,79.35,-0.970828046947053,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.9813526,1,1,5919-TMRGD,Month-to-month,Electronic check,Fiber optic
0,0,1,1,11,0,0,50.55,-0.7564070662510192,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.06308979,0,0,8108-UXRQN,Month-to-month,Electronic check,DSL
0,0,1,0,7,1,1,75.15,-0.7866068936762115,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6146235,1,1,9191-MYQKX,Month-to-month,Bank transfer (automatic),Fiber optic
0,0,0,0,42,1,1,103.8,0.9034363340073843,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0.2706043,0,0,9919-YLNNG,Month-to-month,Bank transfer (automatic),Fiber optic
0,0,1,0,49,1,1,20.15,-0.5763993293703981,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0019515249,0,0,0318-ZOPWS,Two year,Bank transfer (automatic),No
1,0,0,0,9,1,1,99.3,-0.600488600041187,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.9912144,1,0,4445-ZJNMU,Month-to-month,Credit card (automatic),Fiber optic
0,0,1,0,35,1,1,62.15,-0.028390481381624946,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.023748036,0,0,4808-YNLEU,One year,Bank transfer (automatic),DSL
0,0,1,1,48,1,0,20.65,-0.5394933313555353,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0021391262,0,0,1862-QRWPE,Two year,Bank transfer (automatic),No
0,0,1,1,46,1,1,19.95,-0.5968046181712038,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0009932119,0,0,2796-NNUFI,Two year,Mailed check,No
1,0,1,0,29,0,0,33.75,-0.5605604133066375,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.14385195,0,0,3016-KSVCP,Month-to-month,Mailed check,DSL
1,0,1,1,30,1,0,82.05,0.1281235986634739,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.15490422,0,0,4767-HZZHQ,Month-to-month,Bank transfer (automatic),Fiber optic
1,1,0,0,1,1,0,74.7,-0.9728796057129719,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.10392165,0,0,2424-WVHPL,Month-to-month,Electronic check,Fiber optic
1,0,1,1,66,1,1,84.0,1.515264101456407,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0.007977486,0,0,7233-PAHHL,Two year,Mailed check,DSL
0,0,0,0,65,1,1,111.05,2.1297390415066153,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0.06233367,0,0,6067-NGCEU,Month-to-month,Credit card (automatic),Fiber optic
1,0,0,0,72,1,1,100.9,2.285061893881181,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,0.030369824,0,0,9848-JQJTX,Two year,Bank transfer (automatic),Fiber optic
0,0,0,0,12,1,1,78.95,-0.596694319312821,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5833192,1,1,8637-XJIVR,Month-to-month,Electronic check,Fiber optic
1,0,1,1,71,1,1,66.85,1.0892678506106137,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0.0038330131,0,0,9803-FTJCG,One year,Credit card (automatic),DSL
1,0,0,0,5,1,0,21.05,-0.9556068044902358,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.18321618,0,1,0278-YXOOG,Month-to-month,Mailed check,No
1,0,0,0,52,1,0,21.0,-0.5173453205922824,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.01818211,0,0,3212-KXOCR,Two year,Bank transfer (automatic),No
0,1,1,0,25,1,1,98.5,0.10354901301580095,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.84352005,1,1,4598-XLKNJ,Month-to-month,Electronic check,Fiber optic
1,0,0,0,1,1,0,20.2,-0.9969247568404078,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.33110213,0,0,6380-ARCEH,Month-to-month,Mailed check,No
0,0,1,1,1,1,0,19.45,-0.9972556534155561,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.41675043,0,0,3679-XASPY,Month-to-month,Electronic check,No
1,0,0,0,38,1,0,95.0,0.5849373505414031,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0.024595145,0,0,7123-WQUHX,One year,Bank transfer (automatic),Fiber optic
0,1,1,0,66,0,0,45.55,0.3297719715587874,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0.029045014,0,0,5386-THSLQ,One year,Bank transfer (automatic),DSL
1,0,1,0,68,1,1,110.0,2.3524765561247074,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.56025857,1,1,3192-NQECA,Two year,Bank transfer (automatic),Fiber optic
1,0,0,0,5,0,0,24.3,-0.9616291221579332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2732313,0,0,6180-YBIQI,Month-to-month,Mailed check,DSL
0,0,1,1,72,1,1,104.15,2.2162354062503553,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0.0134213455,0,0,6728-DKUCO,One year,Electronic check,Fiber optic
0,0,0,0,32,0,0,30.15,-0.5965619606827617,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.011818382,0,0,9750-BOOHV,One year,Mailed check,DSL
1,0,0,0,43,1,0,94.35,0.724222748907119,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0.1445413,0,0,8597-CWYHH,One year,Mailed check,Fiber optic
1,0,1,1,72,1,0,19.4,-0.40437722983668684,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,8.8854234e-05,0,0,2848-YXSMW,Two year,Credit card (automatic),No
1,0,1,0,55,1,1,96.75,1.3055418521274775,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.3633873,0,1,0486-HECZI,Month-to-month,Electronic check,Fiber optic
0,0,0,0,52,1,0,57.95,0.33638990306175137,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.034941502,0,0,4549-ZDQYY,One year,Credit card (automatic),DSL
0,0,0,0,43,1,1,91.65,0.7386939591269336,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,0.08718807,0,0,5712-AHQNN,Month-to-month,Electronic check,Fiber optic
0,1,1,0,37,1,1,76.5,0.25957777808401583,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7095524,1,1,4846-WHAFZ,Month-to-month,Electronic check,Fiber optic
0,0,1,1,64,0,1,54.6,0.50459566209542,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0.0118050845,0,0,5256-SKJGO,Two year,Electronic check,DSL
1,0,1,1,3,1,0,89.85,-0.8962439589086486,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.088082746,0,0,3071-VBYPO,Month-to-month,Electronic check,Fiber optic
0,0,0,0,36,0,0,31.05,-0.5088964280401651,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.01014981,0,0,9560-BBZXK,Two year,Bank transfer (automatic),DSL
0,0,1,1,10,1,1,100.25,-0.5361181862890237,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.96568197,1,1,5299-RULOA,Month-to-month,Electronic check,Fiber optic
0,0,0,0,41,1,0,20.65,-0.637372538284373,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0004536992,0,0,8402-OOOHJ,Two year,Mailed check,No
1,0,1,1,27,1,1,85.2,-0.056560809812575046,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.13580689,0,0,9445-ZUEQE,Month-to-month,Credit card (automatic),Fiber optic
0,0,1,1,56,1,1,99.8,1.4275544492704573,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.17381065,0,0,1091-SOZGA,One year,Credit card (automatic),Fiber optic
0,0,0,0,6,1,0,20.7,-0.9560921194671198,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.054794755,0,0,2928-HLDBA,Month-to-month,Mailed check,No
1,0,0,0,3,1,1,74.4,-0.9045604928307066,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.81828517,1,1,0404-SWRVG,Month-to-month,Electronic check,Fiber optic
0,0,1,1,7,1,0,50.7,-0.85126408446017,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.17516012,0,0,6497-TILVL,Month-to-month,Mailed check,DSL
